id,title,tagline,description,userID,tags,category
41edbc3e-2636-4806-bd87-4c19f273bb3c,Test Project,some tagline,some description,5f5a90e2-6601-480c-bc08-7592e06beacd,"['coding', 'new-tag']",Health and Wellness
467f58b6-c640-493a-aceb-36dea9881778,To the Cosmos,Where Dreams Touch the Stars,"Cosmos is a visionary project that propels you into the infinite wonders of the universe. It blends advanced technology, immersive education, and thrilling adventures to foster a profound bond with the celestial realm. Unearth the secrets of the cosmos, from galaxies to nebulae, and be captivated by the magic of the night sky.",0db6b893-14aa-4ae5-8e57-692ca7943ab5,"['exploration', 'beyondearth', 'software', 'stargazing', 'astronomy']",Travel and Exploration
6f6235eb-a751-43f2-8bad-506c884635db,Cosmos,Enter the starline,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Eos ea eaque consectetur ducimus facilis vel quod suscipit ut blanditiis sunt ex et recusandae sequi eveniet quas aspernatur, doloremque. Esse explicabo ipsa facilis assumenda, dolores quidem distinctio impedit quae odio quos. Officiis soluta suscipit sed sit cum rerum eius placeat ratione ut incidunt, et quam aspernatur voluptatibus unde nostrum animi, consectetur rem a vit Officiis nihil dolorum sequi culpa.

",0db6b893-14aa-4ae5-8e57-692ca7943ab5,"['astronomy', 'physics', 'website']",Astronomy
b5a0f61f-6ae4-4036-97c1-beb0b5605a7a,Space Explorer,To the space and beyond,"Sky Explorer is an ambitious and groundbreaking project that seeks to redefine the way we interact with the skies above us. It's a multifaceted initiative that combines cutting-edge technology, education, and adventure to inspire a deeper connection with the celestial world. Sky Explorer offers an unparalleled opportunity to explore the mysteries of the sky and go beyond what was once thought possible.",0db6b893-14aa-4ae5-8e57-692ca7943ab5,"['space', 'exploration', 'app', 'spacetravel', 'nextgen']",Travel and Exploration
45ba1903-cafe-4e57-b7ec-1de402d32cc1,Interact,"create, connect, collaborate","Lorem ipsum dolor sit, amet consectetur adipisicing elit. Eos ea eaque consectetur ducimus facilis vel quod suscipit ut blanditiis sunt ex et recusandae sequi eveniet quas aspernatur temluta suscipit sed sit cum rerum eius placeat ratione ut incidunt, et quam aspernatur voluptatibus unde nostrum animi, consectetur rem a vitae expedita iure ducimus labore? Officiis nihil dolorum sequi culpa.
",0db6b893-14aa-4ae5-8e57-692ca7943ab5,"['js', 'ts', 'students']",tech
22a9acc5-428a-41d4-b056-9bebe9183afe,Waderlust,Travel for life, dwdaw dja hjdw djaw dawdkadwakdwalkdwad wadawjhddw dwajkbwbdawnd awd wakja;fwngwjkg thr gerefefuheopg;ermg g sjfbiofkes fesfesf esfeskgneoiesfm gf jseknfsemfs fs efeskf se gesjiofespdm,0db6b893-14aa-4ae5-8e57-692ca7943ab5,"['travel', 'app', 'treks']",travel
37e5167f-10d9-429d-99c4-260d68e39307,EcoGarden,"Grow, Nurture, and Harvest Joy","EcoGarden is not just a garden; it's your haven of green amidst the urban landscape. Personalize your garden, receive care alerts, and watch life bloom.",0db6b893-14aa-4ae5-8e57-692ca7943ab5,"['Gardening', 'Green', 'Nature']",Sustainability and Green Tech
a67a478a-e7d2-4256-9f17-24fea781ce64,Smart Home Automation System,Simplify your life with intelligent automation,"Create a cutting-edge smart home system that enables homeowners to control and automate various aspects of their home, from lighting to security.",0db6b893-14aa-4ae5-8e57-692ca7943ab5,"['IoT', 'Automation', 'Home', 'Smart Technology']",Technology and Software
502af4fe-b525-4832-a617-1224e64f5f06,Clean Energy Solutions for Urban Areas,Powering cities with renewable energy,"Develop sustainable energy solutions for urban environments, including solar panels, wind turbines, and energy-efficient infrastructure.",0db6b893-14aa-4ae5-8e57-692ca7943ab5,"['Renewable Energy', 'Sustainability', 'Urban Development']",Sustainability and Green Tech
8f9b9a0c-144e-4fea-a03b-d8130230fd7f,Online Learning Platform for STEM Education,Unlock the potential of online STEM education,Build an interactive e-learning platform that offers high-quality STEM courses and resources to students of all ages.,0db6b893-14aa-4ae5-8e57-692ca7943ab5,"['E-Learning', 'STEM Education', 'Online Learning']",Education and E-Learning
